Txn_ID,Start time,End time,Duration (ms),Log manager (ms),Scheduler (ms),Other (ms)
758817641988097,1748851295780648502,1748851295986004902,205.356,0.425,195.937,8.994
1758982381240321,1748851326337172848,1748851326534536035,197.363,1.26,182.805,13.299
1561624339021825,1748851320306856307,1748851320501314241,194.458,0.033,184.432,9.993
462168545820672,1748851286222499123,1748851286430627999,208.129,0.578,201.282,6.268
502476813893633,1748851287513742148,1748851287724319344,210.577,0.813,196.384,13.381
1044716435013632,1748851304693456417,1748851304892600599,199.144,3.235,189.642,6.268
17910013624320,1748851268266545651,1748851268570257061,303.711,3.348,290.886,9.478
630273565786112,1748851291601712478,1748851291818593384,216.881,0.39,206.305,10.185
1345046318153729,1748851313814278039,1748851314008813337,194.535,2.481,182.716,9.338
1084165709627393,1748851305918940886,1748851306116835916,197.895,0.04,188.982,8.873
1332895855673345,1748851313456155790,1748851313637315818,181.16,0.121,175.916,5.123
307953450090497,1748851280989852532,1748851281223297360,233.445,6.206,224.685,2.553
161168647782400,1748851275428097215,1748851275736611671,308.514,0.263,302.137,6.115
1224705629487104,1748851310218616745,1748851310413307774,194.691,0.196,186.603,7.891
156981054668801,1748851275218746477,1748851275539452454,320.706,6.377,309.662,4.667
1701296675487744,1748851324570397293,1748851324766692497,196.295,1.148,183.544,11.604
1549637085298688,1748851319950151265,1748851320137574635,187.423,0.748,180.427,6.248
1671884739444736,1748851323676276740,1748851323873335919,197.059,0.064,189.077,7.918
1212628181450752,1748851309850854129,1748851310046018482,195.164,0.948,185.779,8.437
953323825922048,1748851301818556823,1748851302022646929,204.09,2.259,194.91,6.92
1413619766001665,1748851315831353028,1748851316022031896,190.679,3.31,182.847,4.522
1204214340517889,1748851309589038154,1748851309776977168,187.939,0.401,179.621,7.916
1402053419073536,1748851315499418278,1748851315685194855,185.777,1.234,174.327,10.216
516388212965376,1748851287967983942,1748851288173698872,205.715,0.069,196.188,9.457
529479273283585,1748851288386874360,1748851288589534276,202.66,7.958,195.496,0.0
1410660533534721,1748851315745351712,1748851315936845822,191.494,0.214,183.662,7.618
974369165672448,1748851302486472215,1748851302688374176,201.902,2.717,198.079,1.106
1323764755202049,1748851313181966456,1748851313379063206,197.097,5.108,186.962,5.027
1247400236679168,1748851310908245414,1748851311109689460,201.444,0.737,187.267,13.44
663937519452161,1748851292716802873,1748851292931140239,214.337,1.758,208.507,4.072
1510252235194369,1748851318754049842,1748851318947761743,193.712,0.031,186.316,7.365
855785118629889,1748851298793096667,1748851298993278707,200.182,0.042,190.091,10.049
1364678613663745,1748851314397387346,1748851314582012002,184.625,0.881,177.301,6.443
1044965543116801,1748851304701377415,1748851304899334692,197.957,2.21,189.481,6.267
1546720802504705,1748851319859490199,1748851320055140159,195.65,0.682,188.604,6.364
1569544258715648,1748851320547205746,1748851320741893569,194.688,2.129,187.265,5.293
1769389086998529,1748851326645957778,1748851326836382001,190.424,3.402,179.473,7.549
166670500888577,1748851275694170418,1748851275981880925,287.711,9.388,281.747,0.0
32336808771585,1748851268956136310,1748851269287211305,331.075,0.021,323.458,7.596
1389404740386816,1748851315126573945,1748851315320064423,193.49,3.848,183.015,6.627
67585605369856,1748851270767311249,1748851271098709838,331.399,0.342,324.854,6.202
574679509106689,1748851289791333027,1748851289996884471,205.551,0.934,195.153,9.464
356658379227137,1748851282712812190,1748851282934715972,221.904,0.926,214.936,6.042
850983345192960,1748851298647726675,1748851298846696643,198.97,1.246,186.954,10.77
505594960150528,1748851287614809621,1748851287823198222,208.389,0.177,197.096,11.116
1222008390025217,1748851310134667881,1748851310337702827,203.035,4.782,193.643,4.61
1742107454734336,1748851325817371109,1748851326012458829,195.088,0.417,188.428,6.243
1139871435456513,1748851307637353242,1748851307838617783,201.265,4.016,190.18,7.068
1430838289891328,1748851316344076151,1748851316541842641,197.766,1.014,187.866,8.886
576466215501824,1748851289845736473,1748851290050072017,204.336,0.038,195.381,8.916
773888682229760,1748851296258388265,1748851296463432012,205.044,3.202,195.264,6.578
1316441835962369,1748851312959443978,1748851313156822444,197.378,3.873,183.383,10.122
1614418077024257,1748851321913544294,1748851322105213942,191.67,1.372,186.894,3.404
23132693856257,1748851268514246876,1748851268825314559,311.068,8.728,301.09,1.25
1123730948358145,1748851307137402243,1748851307365376368,227.974,0.032,182.677,45.266
1600970534420481,1748851321501543770,1748851321700542701,198.999,6.836,192.62,0.0
915128681758720,1748851300628935467,1748851300832874020,203.939,4.095,193.539,6.304
1014273706819584,1748851303742603048,1748851303948670635,206.068,3.967,194.22,7.88
780408442585088,1748851296464574044,1748851296671560026,206.986,4.038,195.87,7.078
638537082863616,1748851291877725568,1748851292090379301,212.654,0.171,207.856,4.627
5450313498625,1748851267383577765,1748851267875783907,492.206,0.062,0.0,492.144
466338959065088,1748851286357947442,1748851286565048048,207.101,0.88,199.807,6.413
686812515270656,1748851293470138296,1748851293673982713,203.844,4.611,196.533,2.7
1744869118705665,1748851325902199385,1748851326102899593,200.7,0.672,186.884,13.144
749793915699201,1748851295501582413,1748851295703213338,201.631,2.264,193.064,6.303
997699428024320,1748851303218073753,1748851303422604332,204.531,0.038,192.953,11.54
981004890144768,1748851302694722728,1748851302903779467,209.057,4.534,201.608,2.915
27084063768576,1748851268692632174,1748851269012785018,320.153,10.922,314.093,0.0
965946734804992,1748851302216997282,1748851302417364348,200.367,0.166,191.986,8.215
1420130936422401,1748851316024305912,1748851316217923697,193.618,1.582,187.311,4.724
966213022777344,1748851302225719866,1748851302428980864,203.261,1.044,196.564,5.653
1719236753883136,1748851325129502357,1748851325325410738,195.908,3.087,185.634,7.187
298998443278336,1748851280668664795,1748851280897632326,228.968,0.791,221.07,7.107
1781311916212224,1748851327001705183,1748851327200012944,198.308,1.384,187.013,9.911
961823566200832,1748851302088492185,1748851302293981584,205.489,3.834,196.159,5.496
654213713494016,1748851292397177093,1748851292609697337,212.52,4.945,203.039,4.537
607020612845569,1748851290843451519,1748851291050737472,207.286,6.159,200.813,0.313
278953830907904,1748851279960219867,1748851280185629505,225.41,0.458,220.156,4.796
1747162631241729,1748851325977327322,1748851326168059900,190.733,1.153,181.753,7.827
462293099872257,1748851286225892348,1748851286432603948,206.712,0.054,201.586,5.072
439005787193344,1748851285478922327,1748851285684426073,205.504,0.135,193.583,11.785
