Txn_ID,Is MP,Is MH,Start time,End time,Duration (ms),Server (ms),Fwd (ms),MH orderer (ms),Seq (ms),Log man (ms),Sched (ms),Lck man (ms),Worker (ms),Wait (ms),Other (ms)
132061654417409,False,True,1749556593298885595,1749556593738208165,439.323,0.0,0.311,3.511,2.92,0.718,0.001,323.038,0.073,0.0,108.751
73813307949057,True,False,1749556589950186887,1749556590263789965,313.603,0.235,0.244,0.0,1.45,0.075,0.001,308.374,1.304,0.0,1.92
169045617803265,False,True,1749556596317120771,1749556596906930482,589.81,0.0,0.018,4.869,7.861,0.698,0.001,1.889,0.121,0.0,574.353
1266177833697281,False,True,1749556637675398875,1749556637872684243,197.285,0.001,0.664,3.785,2.733,2.419,0.005,181.265,0.123,0.0,6.29
1402663304429569,False,False,1749556641806191638,1749556641995825682,189.634,0.001,0.014,0.0,4.779,0.058,0.0,179.922,0.022,0.0,4.838
598447858122752,True,False,1749556617208302156,1749556617377217570,168.915,0.368,0.454,0.0,4.678,0.262,0.001,156.309,0.852,0.0,5.991
608227498655744,False,True,1749556617475614465,1749556617683269562,207.655,0.0,0.903,5.739,3.436,1.761,0.001,192.131,0.045,0.0,3.639
285069864337408,False,True,1749556604619828078,1749556604985978365,366.15,0.001,0.184,3.567,4.064,1.769,0.002,354.781,0.146,0.0,1.636
550743656366081,True,True,1749556615506216738,1749556615714806239,208.59,0.512,0.386,0.496,1.259,1.456,0.001,198.502,0.503,0.0,5.475
936070942294016,True,False,1749556627450494997,1749556627647923131,197.428,0.005,0.796,0.0,6.468,0.35,0.001,184.093,0.644,0.0,5.071
550266914996224,True,False,1749556615490015082,1749556615698883163,208.868,1.506,0.476,0.0,6.319,0.167,0.001,197.788,0.058,0.0,2.553
638146240839680,False,True,1749556618341624650,1749556618542865432,201.241,0.001,0.91,3.98,3.941,2.258,0.001,3.036,0.038,0.0,187.076
1305158956875777,False,True,1749556638847572161,1749556639048508986,200.937,0.001,0.035,5.705,6.019,0.198,0.0,0.0,0.036,0.0,188.943
743136716390401,False,True,1749556621507501984,1749556621707363141,199.861,0.001,0.023,4.501,3.655,2.4,0.001,2.406,0.035,0.0,186.839
950012406136833,True,False,1749556627878754105,1749556628080408259,201.654,0.521,0.209,0.0,2.866,0.682,0.001,193.239,0.728,0.0,3.408
216513596358656,True,False,1749556600277168093,1749556600712185677,435.018,0.321,0.369,0.0,1.489,0.18,0.001,429.752,0.192,0.0,2.714
329037444546560,True,False,1749556607090300102,1749556607400935429,310.635,0.0,0.263,0.0,4.823,0.302,0.001,300.564,0.741,0.0,3.941
58235461566464,True,False,1749556589220092654,1749556589524422389,304.33,0.016,0.32,0.0,2.489,0.237,0.001,296.282,0.742,0.0,4.243
466175750307840,True,False,1749556612649640743,1749556612866624796,216.984,0.138,0.31,0.0,6.613,0.12,0.001,205.361,1.593,0.0,2.848
235274013507584,False,True,1749556601522372073,1749556601938646756,416.275,0.0,0.023,3.551,5.488,0.365,0.002,79.034,0.055,0.0,327.757
1244067342057473,True,True,1749556637026318700,1749556637223190306,196.872,0.155,0.216,5.384,7.357,0.0,0.0,0.0,3.285,0.0,180.475
781830076760065,False,True,1749556622702899616,1749556622910157010,207.257,0.0,0.549,3.208,7.1,0.138,0.002,190.696,0.053,0.0,5.511
705229335035905,True,False,1749556620359164589,1749556620541014481,181.85,0.142,0.441,0.0,1.491,0.085,0.001,174.555,0.596,0.0,4.539
919797311209473,False,True,1749556626936602543,1749556627136830524,200.228,0.0,0.58,2.905,1.658,5.489,0.002,183.651,0.05,0.0,5.893
1302032220684288,False,True,1749556638753478459,1749556638951770958,198.292,0.001,0.215,5.204,3.402,2.614,0.001,182.83,0.024,0.0,4.001
