Txn_ID,Is MP,Is MH,Start time,End time,Duration (ms),Server (ms),Fwd (ms),MH orderer (ms),Seq (ms),Log man (ms),Sched (ms),Worker (ms),Wait (ms),Other (ms)
627426002468864,False,False,1749146944609478915,1749146944857945833,248.467,0.0,0.318,0.0,1.146,0.098,242.589,0.026,0.0,5.754
939163318747137,False,False,1749146956861235316,1749146957098475974,237.241,0.0,0.01,0.0,3.323,1.693,228.445,0.025,0.0,7.078
180453050941440,True,False,1749146925644483975,1749146925934423604,289.94,0.226,0.553,0.0,6.378,0.105,279.638,0.871,0.0,9.326
1354856023457793,False,False,1749146970795295204,1749146970996907384,201.612,0.001,0.012,0.0,2.311,0.041,197.629,0.019,0.0,3.923
566012265103361,False,False,1749146942193930520,1749146942453188225,259.258,0.001,0.013,0.0,5.51,0.028,248.451,0.024,0.0,10.755
494836067074049,False,False,1749146939313941132,1749146939575686251,261.745,0.0,0.01,0.0,1.946,0.03,257.106,0.026,0.0,4.583
321216309100545,True,False,1749146932287911117,1749146932565167747,277.257,0.322,0.0,0.0,0.0,0.022,272.086,0.603,0.0,4.546
738180324130817,False,True,1749146949039075519,1749146949297404560,258.329,0.001,0.0,0.0,7.755,0.0,248.381,0.07,0.0,9.878
835018951753728,True,True,1749146952906074049,1749146953159821495,253.747,1.357,0.377,0.0,9.044,0.112,240.407,3.265,0.0,9.963
1346278973767681,True,True,1749146970524968025,1749146970729039565,204.072,1.052,0.0,0.0,10.265,0.205,185.323,2.643,0.0,15.901
616929102397441,False,False,1749146944184774911,1749146944440684405,255.909,0.0,0.505,0.0,3.402,0.0,0.0,0.033,0.0,255.876
804275575848960,True,True,1749146951691258027,1749146951949289772,258.032,0.003,0.493,0.0,7.77,0.122,244.213,3.19,0.0,10.507
240097261780993,True,True,1749146928422116510,1749146928746655957,324.539,0.281,0.0,0.0,9.281,0.048,312.12,5.178,0.0,7.193
1381364561608705,True,True,1749146971647323509,1749146971858733841,211.41,0.004,0.0,0.0,10.021,0.043,193.886,4.041,0.0,13.44
547827373572096,True,True,1749146941461941305,1749146941721880882,259.94,0.226,0.249,0.0,7.538,0.086,248.994,3.024,0.0,7.836
1299188952334336,True,True,1749146968992694363,1749146969207180088,214.486,0.125,0.638,0.0,10.325,0.087,199.489,0.785,0.0,14.125
1143247279751168,False,True,1749146964150113404,1749146964327383518,177.27,0.0,1.387,0.0,11.261,0.067,150.211,0.051,0.0,26.941
1206920169914369,False,True,1749146966055478979,1749146966251892011,196.413,0.0,0.0,0.0,9.812,0.099,176.727,0.048,0.0,19.539
